global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,conflict_pairs,delta
129,stage1,129,4557567.999287945,8277.632308208173,58736.10754591223,1131.8928205415793,98,6,0,58,0.9888365463596875
130,stage1,130,4555544.35920562,8277.632308208173,58736.10754591223,1131.8928205415793,98,6,0,58,0.98839709375
131,stage1,131,4553457.4860706935,8277.632308208173,58736.10754591223,1131.8928205415793,98,6,0,58,0.9879439094840625
132,stage1,132,4551305.909434405,8277.632308208173,58736.10754591223,1131.8928205415793,98,6,0,58,0.98747667424
133,stage1,133,4549088.136226369,8277.632308208173,58736.10754591223,1131.8928205415793,98,6,0,58,0.9869950637834375
134,stage1,134,4546802.650581892,8277.632308208173,58736.10754591223,1131.8928205415793,98,6,0,58,0.98649874893
135,stage1,135,4544447.913669284,8277.632308208173,58736.10754591223,1131.8928205415793,98,6,0,58,0.9859873955078124
136,stage1,136,4542022.363517186,8277.632308208173,58736.10754591223,1131.8928205415793,98,6,0,58,0.98546066432
137,stage1,137,4539524.414841869,8277.632308208173,58736.10754591223,1131.8928205415793,98,6,0,58,0.9849182111071875
138,stage1,138,4536952.4588745665,8277.632308208173,58736.10754591223,1131.8928205415793,98,6,0,58,0.98435968651
139,stage1,139,4533902.125061324,9079.116246063832,58729.074359807295,1131.8928205415793,98,7,0,58,0.9837847360315625
140,stage1,140,4531177.559684441,9079.116246063832,58729.074359807295,1131.8928205415793,98,7,0,58,0.983193
141,stage1,141,4528374.02752893,9079.116246063832,58729.074359807295,1131.8928205415793,98,7,0,58,0.9825841135309376
142,stage1,142,4525489.824363091,9079.116246063832,58729.074359807295,1131.8928205415793,98,7,0,58,0.98195770649
143,stage1,143,4522523.221609673,9079.116246063832,58729.074359807295,1131.8928205415793,98,7,0,58,0.9813134034553125
144,stage1,144,4519472.466173212,9079.116246063832,58729.074359807295,1131.8928205415793,98,7,0,58,0.98065082368
145,stage1,145,4516335.780267367,9079.116246063832,58729.074359807295,1131.8928205415793,98,7,0,58,0.9799695810546875
146,stage1,146,4513111.361242255,9079.116246063832,58729.074359807295,1131.8928205415793,98,7,0,58,0.97926928407
147,stage1,147,4505351.364373229,9639.745307662544,58669.49183071014,1131.8928205415793,98,8,0,58,0.9785495357790625
148,stage1,148,4501949.425723384,9639.745307662544,58669.49183071014,1131.8928205415793,98,8,0,58,0.97780993376
149,stage1,149,4498407.691325056,8707.776919851387,58669.49183071014,1131.8928205415793,98,8,0,58,0.9770500700784375
150,stage1,150,4494817.4561178405,8707.776919851387,58669.49183071014,1131.8928205415793,98,8,0,58,0.97626953125
151,stage1,151,4491130.194082406,8707.776919851387,58669.49183071014,1131.8928205415793,98,8,0,58,0.9754678982028125
152,stage1,152,4487343.951745566,8707.776919851387,58669.49183071014,1131.8928205415793,98,8,0,58,0.97464474624
153,stage1,153,4483456.749588397,8707.776919851387,58669.49183071014,1131.8928205415793,98,8,0,58,0.9737996450021875
154,stage1,154,4479466.581873757,8707.776919851387,58669.49183071014,1131.8928205415793,98,8,0,58,0.97293215843
155,stage1,155,4475371.41647379,8707.776919851387,58669.49183071014,1131.8928205415793,98,8,0,58,0.9720418447265625
156,stage1,156,4471169.194697443,8707.776919851387,58669.49183071014,1131.8928205415793,98,8,0,58,0.97112825632
157,stage1,157,4466857.831117975,8707.776919851387,58669.49183071014,1131.8928205415793,98,8,0,58,0.9701909398259375
158,stage1,158,4462435.213400465,8707.776919851387,58669.49183071014,1131.8928205415793,98,8,0,58,0.96922943601
159,stage1,159,4457899.202129337,8707.776919851387,58669.49183071014,1131.8928205415793,98,8,0,58,0.9682432797503124
160,stage1,160,4453179.405880825,9343.281819260948,58669.49183071014,1131.8928205415793,98,7,0,58,0.967232
161,stage1,161,4448410.080070615,9343.281819260948,58669.49183071014,1131.8928205415793,98,7,0,58,0.9661951197496875
162,stage1,162,4443520.778251173,9343.281819260948,58669.49183071014,1131.8928205415793,98,7,0,58,0.96513215599
163,stage1,163,4438486.955797984,8897.378591335586,58669.49183071014,1131.8928205415793,98,7,0,58,0.9640426196740625
164,stage1,164,4433350.925627613,8897.378591335586,58669.49183071014,1131.8928205415793,98,7,0,58,0.96292601568
165,stage1,165,4428072.581679081,8587.271036039876,58669.49183071014,1131.8928205415793,98,7,0,58,0.9617818427734375
166,stage1,166,4422680.6008980125,8587.271036039876,58669.49183071014,1131.8928205415793,98,7,0,58,0.96060959357
167,stage1,167,4417157.115636174,8587.271036039876,58669.49183071014,1131.8928205415793,98,7,0,58,0.9594087544978125
168,stage1,168,4411471.416404684,8020.89932906591,58669.49183071014,1131.8928205415793,98,7,0,58,0.95817880576
169,stage1,169,4405677.214080647,8010.767638805687,58669.49183071014,1131.8928205415793,98,7,0,58,0.9569192212971875
170,stage1,170,4399730.213178733,7719.940000932622,58669.49183071014,1131.8928205415793,98,7,0,58,0.95562946875
171,stage1,171,4393656.5120405825,7719.940000932622,58669.49183071014,1131.8928205415793,98,7,0,58,0.9543090094215625
172,stage1,172,4387439.062123648,7719.940000932622,58669.49183071014,1131.8928205415793,98,7,0,58,0.95295729824
173,stage1,173,4381028.469391325,8782.79239178649,58669.49183071014,1131.8928205415793,98,6,0,58,0.9515737837209375
174,stage1,174,4374515.882280387,8782.79239178649,58669.49183071014,1131.8928205415793,98,6,0,58,0.95015790793
175,stage1,175,4367851.092240274,8767.69228198871,58669.49183071014,1131.8928205415793,98,6,0,58,0.9487091064453125
176,stage1,176,4361032.983104384,8767.69228198871,58669.49183071014,1131.8928205415793,98,6,0,58,0.94722680832
177,stage1,177,4354058.143504193,8767.69228198871,58669.49183071014,1131.8928205415793,98,6,0,58,0.9457104360446875
178,stage1,178,4346906.853026818,8427.018443844518,58669.49183071014,1131.8928205415793,98,6,0,58,0.94415940551
179,stage1,179,4339603.216917474,8282.120699986237,58669.49183071014,1131.8928205415793,98,6,0,58,0.9425731259690625
180,stage1,180,4332141.943304314,8282.120699986237,58669.49183071014,1131.8928205415793,98,6,0,58,0.940951
181,stage1,181,4324512.459650168,8271.14429503911,58669.49183071014,1131.8928205415793,98,6,0,58,0.9392924234684374
182,stage1,182,4316391.08167287,5831.703394327109,58669.49183071014,1131.8928205415793,98,4,0,58,0.93759678549
183,stage1,183,4308417.960011928,5823.632748335305,58669.49183071014,1131.8928205415793,98,4,0,58,0.9358634683928125
184,stage1,184,4300263.382359163,5710.136010989029,58669.49183071014,1131.8928205415793,98,4,0,58,0.93409184768
185,stage1,185,4291935.3907997655,5710.136010989029,58669.49183071014,1131.8928205415793,98,4,0,58,0.9322812919921875
186,stage1,186,4283425.374702781,5710.136010989029,58669.49183071014,1131.8928205415793,98,4,0,58,0.93043116307
187,stage1,187,4274726.081746738,5624.443670143741,58669.49183071014,1131.8928205415793,98,4,0,58,0.9285408157165624
188,stage1,188,4265843.081378471,5624.443670143741,58669.49183071014,1131.8928205415793,98,4,0,58,0.9266095977600001
