run_id,conflict_id,plan_a,plan_b,cell_x,cell_y,cell_z,P_schedule,P_speed,P_reroute,sampled_strategy,actor_gene,selected_actor,stage2_generation,record_type
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,77,70,87,27,28,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.4029613554067737,87,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,78,52,77,7,23,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.3875939724573954,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,79,52,77,8,22,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.3720328465786267,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,80,49,66,35,11,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.3562780543137904,66,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,81,52,77,10,22,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.3403296731588696,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,82,52,77,9,22,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.3241877815620668,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,83,52,77,4,22,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.3078524589234348,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,84,52,77,3,22,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.291323785594507,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,85,55,65,46,9,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.2746018428778783,65,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,86,57,82,9,29,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.2576867130268141,82,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,87,57,69,11,27,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.2405784792448316,69,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,88,61,88,45,54,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.2232772256853224,88,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,89,68,99,47,33,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.2057830374511127,99,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,90,70,87,23,27,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.188096000594058,87,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,91,70,87,22,27,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.1702162021145952,87,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,92,70,87,21,27,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.1521437299613524,87,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,93,70,87,20,27,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.1338786730306794,87,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,94,70,87,19,27,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.11542112116625,87,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,95,70,87,28,28,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.0967711651585716,87,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,96,70,87,26,28,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.0779288967445808,87,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,97,70,87,25,28,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.0588944086071876,87,1,generation_best
